"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
13,"1","2025-02-23T12:05:50.929774Z",11,"[{""start"":4,""end"":29,""text"":""2025 ICC Champions Trophy"",""labels"":[""EVENT""]},{""start"":47,""end"":58,""text"":""February 19"",""labels"":[""DATE""]},{""start"":65,""end"":73,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":81,""end"":92,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":96,""end"":103,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":109,""end"":119,""text"":""tournament"",""labels"":[""EVENT""]},{""start"":146,""end"":154,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":159,""end"":162,""text"":""UAE"",""labels"":[""GPE""]},{""start"":199,""end"":204,""text"":""India"",""labels"":[""GPE""]},{""start"":212,""end"":232,""text"":""The Champions Trophy"",""labels"":[""EVENT""]},{""start"":246,""end"":251,""text"":""eight"",""labels"":[""CARDINAL""]},{""start"":272,""end"":275,""text"":""two"",""labels"":[""CARDINAL""]},{""start"":286,""end"":290,""text"":""four"",""labels"":[""CARDINAL""]},{""start"":308,""end"":310,""text"":""12"",""labels"":[""CARDINAL""]},{""start"":427,""end"":438,""text"":""February 20"",""labels"":[""DATE""]},{""start"":440,""end"":451,""text"":""February 23"",""labels"":[""DATE""]},{""start"":456,""end"":463,""text"":""March 2"",""labels"":[""DATE""]},{""start"":496,""end"":503,""text"":""March 4"",""labels"":[""DATE""]},{""start"":508,""end"":509,""text"":""5"",""labels"":[""DATE""]},{""start"":536,""end"":543,""text"":""March 9"",""labels"":[""DATE""]},{""start"":578,""end"":584,""text"":""Lahore"",""labels"":[""LOC""]},{""start"":643,""end"":648,""text"":""Dubai"",""labels"":[""LOC""]},{""start"":593,""end"":598,""text"":""India"",""labels"":[""GPE""]}]",111.314,"The 2025 ICC Champions Trophy will kick off on February 19, with Pakistan facing New Zealand in Karachi. The tournament will be jointly hosted by Pakistan and UAE, with the latter set to host all of Indias games The Champions Trophy will feature eight teams, divided into two groups of four each. A total of 12 group-stage matches will be played, followed by the semifinals and final.  India will play its group-stage games on February 20, February 23 and March 2. The semifinals will be held on March 4 and 5, followed by the final on March 9. The summit clash will be held in Lahore, unless India qualifies, in which case it will be held in Dubai.","2025-02-23T12:05:50.929806Z"
14,"1","2025-02-23T12:07:03.407583Z",12,"[{""start"":37,""end"":67,""text"":""ICC Mens Champions Trophy 2025"",""labels"":[""EVENT""]},{""start"":126,""end"":143,""text"":""Abdullah Siddiqui"",""labels"":[""PER""]},{""start"":160,""end"":171,""text"":""Adnan Dhool"",""labels"":[""PER""]},{""start"":176,""end"":190,""text"":""Asfandyar Asad"",""labels"":[""PER""]},{""start"":209,""end"":219,""text"":""Atif Aslam"",""labels"":[""PER""]},{""start"":318,""end"":321,""text"":""ICC"",""labels"":[""ORG""]},{""start"":331,""end"":339,""text"":""Pakistan"",""labels"":[""LOC""]},{""start"":348,""end"":351,""text"":""UAE"",""labels"":[""LOC""]},{""start"":451,""end"":460,""text"":""Pakistans"",""labels"":[""GPE""]}]",54.058,"Q: What is the official song for the ICC Mens Champions Trophy 2025? A: The official song is Jeeto Baazi Khel Ke, produced by Abdullah Siddiqui, with lyrics by Adnan Dhool and Asfandyar Asad, and performed by Atif Aslam. Q: What does the song represent? A: The song captures the passion and excitement of the upcoming ICC event in Pakistan and the UAE, celebrating the spirit of cricket. Q: What is featured in the music video? A: The video showcases Pakistans rich culture, highlighting vibrant streets, markets, and stadiums, while capturing the energy of cricket fans worldwide. Q: Where can the song be streamed? A: Jeeto Baazi Khel Ke is available on popular audio streaming platforms globally.","2025-02-23T12:07:03.407602Z"
15,"1","2025-02-23T12:09:28.353544Z",13,"[{""start"":21,""end"":41,""text"":""ICC Champions Trophy"",""labels"":[""EVENT""]},{""start"":42,""end"":46,""text"":""2025"",""labels"":[""DATE""]},{""start"":80,""end"":89,""text"":""Wednesday"",""labels"":[""DATE""]},{""start"":129,""end"":140,""text"":""February 19"",""labels"":[""DATE""]},{""start"":173,""end"":190,""text"":""February 14 to 17"",""labels"":[""DATE""]},{""start"":196,""end"":224,""text"":""Pakistan Cricket Board (PCB)"",""labels"":[""ORG""]},{""start"":288,""end"":299,""text"":""February 14"",""labels"":[""DATE""]},{""start"":301,""end"":312,""text"":""Shadab Khan"",""labels"":[""PER""]},{""start"":323,""end"":331,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":349,""end"":360,""text"":""Afghanistan"",""labels"":[""GPE""]},{""start"":364,""end"":370,""text"":""Lahore"",""labels"":[""LOC""]},{""start"":375,""end"":386,""text"":""17 February"",""labels"":[""DATE""]},{""start"":428,""end"":435,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":440,""end"":446,""text"":""Dubai."",""labels"":[""LOC""]},{""start"":447,""end"":464,""text"":""Mohammad Hurraira"",""labels"":[""PER""]},{""start"":492,""end"":504,""text"":""South Africa"",""labels"":[""GPE""]},{""start"":508,""end"":515,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":523,""end"":537,""text"":""Mohammad Haris"",""labels"":[""PER""]},{""start"":565,""end"":575,""text"":""Bangladesh"",""labels"":[""GPE""]},{""start"":586,""end"":597,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":579,""end"":584,""text"":""Dubai"",""labels"":[""LOC""]},{""start"":602,""end"":613,""text"":""Afghanistan"",""labels"":[""GPE""]},{""start"":652,""end"":659,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":663,""end"":674,""text"":""February 16"",""labels"":[""DATE""]}]",120.698,"The schedule for the ICC Champions Trophy 2025 warm-up matches was announced on Wednesday. While the main tournament begins from February 19, the warm-ups will be held from February 14 to 17. The Pakistan Cricket Board (PCB) named three squads that will participate in these fixtures. On February 14, Shadab Khan will lead Pakistan Shaheens against Afghanistan in Lahore. On 17 February, two Shaheens teams will be in action in Karachi and Dubai. Mohammad Hurraira will lead Shaheens against South Africa in Karachi, while Mohammad Haris will lead Shaheens against Bangladesh in Dubai. New Zealand and Afghanistan will also play out a warm-up match in Karachi on February 16. All the warm-up matches will be day-night fixtures.","2025-02-23T12:09:28.353574Z"
16,"1","2025-02-23T12:12:33.958491Z",14,"[{""start"":4,""end"":29,""text"":""2025 ICC Champions Trophy"",""labels"":[""EVENT""]},{""start"":40,""end"":51,""text"":""February 19"",""labels"":[""DATE""]},{""start"":58,""end"":66,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":74,""end"":85,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":89,""end"":96,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":98,""end"":103,""text"":""Eight"",""labels"":[""CARDINAL""]},{""start"":126,""end"":129,""text"":""two"",""labels"":[""CARDINAL""]},{""start"":140,""end"":144,""text"":""four"",""labels"":[""CARDINAL""]},{""start"":154,""end"":156,""text"":""12"",""labels"":[""CARDINAL""]},{""start"":216,""end"":226,""text"":""Sri Lankan"",""labels"":[""GPE""]},{""start"":233,""end"":249,""text"":""Farveez Maharoof"",""labels"":[""PER""]},{""start"":299,""end"":315,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":349,""end"":353,""text"":""6\/14"",""labels"":[""CARDINAL""]},{""start"":362,""end"":373,""text"":""West Indies"",""labels"":[""GPE""]},{""start"":377,""end"":381,""text"":""2006"",""labels"":[""DATE""]},{""start"":389,""end"":406,""text"":""Brabourne Stadium"",""labels"":[""LOC""]},{""start"":408,""end"":414,""text"":""Mumbai"",""labels"":[""LOC""]},{""start"":441,""end"":443,""text"":""80"",""labels"":[""CARDINAL""]},{""start"":445,""end"":454,""text"":""Australia"",""labels"":[""GPE""]},{""start"":456,""end"":470,""text"":""Josh Hazlewood"",""labels"":[""PER""]},{""start"":506,""end"":509,""text"":""six"",""labels"":[""CARDINAL""]},{""start"":568,""end"":579,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":587,""end"":591,""text"":""2017"",""labels"":[""DATE""]},{""start"":632,""end"":638,""text"":""Indian"",""labels"":[""GPE""]},{""start"":646,""end"":662,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":673,""end"":688,""text"":""Ravindra Jadeja"",""labels"":[""PER""]},{""start"":702,""end"":706,""text"":""5\/36"",""labels"":[""CARDINAL""]},{""start"":715,""end"":727,""text"":""West Indies "",""labels"":[""GPE""]},{""start"":730,""end"":734,""text"":""2013"",""labels"":[""DATE""]}]",180.981,"The 2025 ICC Champions Trophy begins on February 19, with Pakistan facing New Zealand in Karachi. Eight teams will compete in two groups of four, playing 12 group-stage matches, followed by the semifinals and final. Sri Lankan pacer Farveez Maharoof holds the record for the best bowling figures in Champions Trophy history. His remarkable spell of 6/14 against West Indies in 2006 at the Brabourne Stadium, Mumbai, skittled it out for just 80. Australias Josh Hazlewood is the only other bowler to take a six-wicket haul in the tournament, achieving the feat against New Zealand in the 2017 edition. The best bowling figures by an Indian in the Champions Trophy belong to Ravindra Jadeja, who claimed 5/36 against West Indies in 2013.","2025-02-23T12:12:33.958518Z"
17,"1","2025-02-23T12:15:01.827554Z",15,"[{""start"":23,""end"":42,""text"":""Varun Chakaravarthy"",""labels"":[""PER""]},{""start"":61,""end"":66,""text"":""India"",""labels"":[""GPE""]},{""start"":0,""end"":6,""text"":""Indian"",""labels"":[""GPE""]},{""start"":74,""end"":76,""text"":""15"",""labels"":[""CARDINAL""]},{""start"":107,""end"":132,""text"":""ICC Champions Trophy 2025"",""labels"":[""EVENT""]},{""start"":153,""end"":169,""text"":""Yashasvi Jaiswal"",""labels"":[""PER""]},{""start"":224,""end"":229,""text"":""Varun"",""labels"":[""PER""]},{""start"":248,""end"":257,""text"":""ODI debut"",""labels"":[""EVENT""]},{""start"":266,""end"":273,""text"":""England"",""labels"":[""GPE""]},{""start"":281,""end"":287,""text"":""second"",""labels"":[""CARDINAL""]},{""start"":301,""end"":315,""text"":""ongoing series"",""labels"":[""EVENT""]},{""start"":395,""end"":406,""text"":""T20I series"",""labels"":[""EVENT""]},{""start"":425,""end"":427,""text"":""14"",""labels"":[""CARDINAL""]},{""start"":444,""end"":453,""text"":""ODI debut"",""labels"":[""EVENT""]},{""start"":455,""end"":460,""text"":""Varun"",""labels"":[""PER""]},{""start"":485,""end"":492,""text"":""English"",""labels"":[""GPE""]},{""start"":500,""end"":509,""text"":""Phil Salt"",""labels"":[""PER""]},{""start"":542,""end"":544,""text"":""54"",""labels"":[""CARDINAL""]},{""start"":548,""end"":550,""text"":""10"",""labels"":[""CARDINAL""]},{""start"":562,""end"":564,""text"":""33"",""labels"":[""CARDINAL""]},{""start"":597,""end"":624,""text"":""Vijay Hazare Trophy 2024-25"",""labels"":[""EVENT""]},{""start"":642,""end"":644,""text"":""18"",""labels"":[""CARDINAL""]},{""start"":657,""end"":667,""text"":""Tamil Nadu"",""labels"":[""GPE""]},{""start"":697,""end"":702,""text"":""12.16"",""labels"":[""CARDINAL""]},{""start"":709,""end"":714,""text"":""eight"",""labels"":[""CARDINAL""]},{""start"":747,""end"":758,""text"":""February 19"",""labels"":[""LOC""]},{""start"":762,""end"":769,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":781,""end"":789,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":797,""end"":808,""text"":""New Zealand"",""labels"":[""GPE""]}]",144.999,"Indian mystery spinner Varun Chakaravarthy has been named in Indias final 15-member squad for the upcoming ICC Champions Trophy 2025. He replaces batter Yashasvi Jaiswal, who was initially included in the provisional squad. Varun recently made his ODI debut against England in the second match of the ongoing series. This opportunity came on the back of his strong performances in the preceding T20I series, where he claimed 14 wickets. On his ODI debut, Varun picked up the wicket of English opener Phil Salt and returned figures of one for 54 in 10 overs. The 33-year-old also had an impressive Vijay Hazare Trophy 2024-25 campaign, taking 18 wickets for Tamil Nadu at an outstanding average of 12.16.  The eight-nation tournament will begin on February 19 in Karachi, with host Pakistan facing New Zealand in the opening match.","2025-02-23T12:15:01.827589Z"
18,"1","2025-02-23T12:17:03.533151Z",16,"[{""start"":14,""end"":27,""text"":""Anrich Nortje"",""labels"":[""PER""]},{""start"":0,""end"":12,""text"":""South Africa"",""labels"":[""GPE""]},{""start"":54,""end"":74,""text"":""ICC Champions Trophy"",""labels"":[""EVENT""]},{""start"":154,""end"":160,""text"":""Nortje"",""labels"":[""PER""]},{""start"":174,""end"":186,""text"":""South Africa"",""labels"":[""GPE""]},{""start"":197,""end"":203,""text"":""Monday"",""labels"":[""DATE""]},{""start"":209,""end"":211,""text"":""48"",""labels"":[""CARDINAL""]},{""start"":326,""end"":337,""text"":""Afghanistan"",""labels"":[""GPE""]},{""start"":341,""end"":348,""text"":""Feb. 21"",""labels"":[""DATE""]},{""start"":350,""end"":357,""text"":""England"",""labels"":[""GPE""]},{""start"":362,""end"":371,""text"":""Australia"",""labels"":[""GPE""]},{""start"":394,""end"":401,""text"":""Nortjes"",""labels"":[""PER""]},{""start"":457,""end"":471,""text"":""Gerald Coetzee"",""labels"":[""PER""]},{""start"":532,""end"":534,""text"":""18"",""labels"":[""CARDINAL""]},{""start"":556,""end"":569,""text"":""Kwena Maphaka"",""labels"":[""PER""]},{""start"":589,""end"":595,""text"":""Nortje"",""labels"":[""PER""]},{""start"":671,""end"":681,""text"":""test match"",""labels"":[""EVENT""]},{""start"":688,""end"":698,""text"":""March 2023"",""labels"":[""DATE""]},{""start"":733,""end"":755,""text"":""September of that year"",""labels"":[""DATE""]},{""start"":705,""end"":726,""text"":""one-day international"",""labels"":[""EVENT""]},{""start"":800,""end"":818,""text"":""Twenty20 World Cup"",""labels"":[""EVENT""]},{""start"":826,""end"":838,""text"":""South Africa"",""labels"":[""GPE""]},{""start"":860,""end"":865,""text"":""India"",""labels"":[""GPE""]}]",117.289,"South Africas Anrich Nortje has been ruled out of the ICC Champions Trophy with a back injury, the latest in a long line of setbacks for the fast bowler. Nortje was named in South Africas squad on Monday, but 48 hours on, officials have said he will not recover in time from a back problem ahead of the Group B opener against Afghanistan on Feb. 21. England and Australia are also in the pool. Nortjes replacement will be named at a later date, with seamer Gerald Coetzee a possible pick after he recovered from a groin strain. The 18-year-old fast bowler Kwena Maphaka is another option. Nortje has had persistent injury issues over several seasons. He has not played a test match since March 2023 and a one-day international since September of that year. He was fit enough to feature in last years Twenty20 World Cup, where South Africa lost in the final to India.","2025-02-23T12:17:03.533170Z"
19,"1","2025-02-23T12:18:59.643594Z",17,"[{""start"":0,""end"":15,""text"":""Allah Ghazanfar"",""labels"":[""PER""]},{""start"":51,""end"":72,""text"":""Champions Trophy 2025"",""labels"":[""EVENT""]},{""start"":92,""end"":123,""text"":""Afghanistan Cricket Board (ACB)"",""labels"":[""ORG""]},{""start"":152,""end"":161,""text"":""Wednesday"",""labels"":[""DATE""]},{""start"":163,""end"":174,""text"":""Afghanistan"",""labels"":[""GPE""]},{""start"":206,""end"":218,""text"":""AM Ghazanfar"",""labels"":[""PER""]},{""start"":246,""end"":266,""text"":""ICC Champions Trophy"",""labels"":[""EVENT""]},{""start"":357,""end"":360,""text"":""ACB"",""labels"":[""ORG""]},{""start"":373,""end"":375,""text"":""18"",""labels"":[""CARDINAL""]},{""start"":437,""end"":448,""text"":""Afghanistan"",""labels"":[""GPE""]},{""start"":458,""end"":466,""text"":""Zimbabwe"",""labels"":[""GPE""]},{""start"":481,""end"":495,""text"":""Mumbai Indians"",""labels"":[""GPE""]},{""start"":533,""end"":537,""text"":""4.80"",""labels"":[""CARDINAL""]},{""start"":545,""end"":554,""text"":""Ghazanfar"",""labels"":[""PER""]},{""start"":594,""end"":615,""text"":""Indian Premier League"",""labels"":[""EVENT""]},{""start"":574,""end"":578,""text"":""2025"",""labels"":[""DATE""]},{""start"":666,""end"":677,""text"":""four months"",""labels"":[""DATE""]},{""start"":679,""end"":694,""text"":""Nangyal Kharoti"",""labels"":[""PER""]},{""start"":775,""end"":791,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":797,""end"":800,""text"":""ACB"",""labels"":[""ORG""]},{""start"":848,""end"":864,""text"":""Mujeeb Ur Rahman"",""labels"":[""PER""]},{""start"":904,""end"":918,""text"":""50-over format"",""labels"":[""EVENT""]}]",110.974,"Allah Ghazanfar has been ruled out of the upcoming Champions Trophy 2025 due to injury, the Afghanistan Cricket Board (ACB) announced in a statement on Wednesday. Afghanistans young spin-bowling sensation, AM Ghazanfar, has been ruled out of the ICC Champions Trophy due to a fracture in the L4 vertebra, specifically in the left pars interarticularis, the ACB stated. The 18-year-old spinner is said to have sustained the injury during Afghanistans tour of Zimbabwe. In a blow to Mumbai Indians, which acquired the youngster for Rs 4.80 crore, Ghazanfar will also miss the 2025 edition of the Indian Premier League, as his injury will sideline him for a minimum of four months. Nangyal Kharoti, who was part of the reserves pool, has been promoted to the main squad for the Champions Trophy, the ACB added. The cricketing body also confirmed that Mujeeb Ur Rahman will continue to be unavailable in the 50-over format until he has fully recovered.","2025-02-23T12:18:59.643615Z"
20,"1","2025-02-23T12:20:49.335914Z",18,"[{""start"":0,""end"":14,""text"":""Mitchell Marsh"",""labels"":[""PER""]},{""start"":50,""end"":75,""text"":""ICC Mens Champions Trophy"",""labels"":[""EVENT""]},{""start"":227,""end"":229,""text"":""73"",""labels"":[""CARDINAL""]},{""start"":163,""end"":175,""text"":""Beau Webster"",""labels"":[""PER""]},{""start"":109,""end"":114,""text"":""Marsh"",""labels"":[""PER""]},{""start"":184,""end"":187,""text"":""SCG"",""labels"":[""LOC""]},{""start"":202,""end"":207,""text"":""India"",""labels"":[""GPE""]},{""start"":238,""end"":243,""text"":""seven"",""labels"":[""CARDINAL""]},{""start"":294,""end"":316,""text"":""Border-Gavaskar Trophy"",""labels"":[""EVENT""]},{""start"":342,""end"":345,""text"":""BBL"",""labels"":[""EVENT""]},{""start"":335,""end"":341,""text"":""single"",""labels"":[""CARDINAL""]},{""start"":354,""end"":363,""text"":""January 7"",""labels"":[""DATE""]},{""start"":386,""end"":391,""text"":""three"",""labels"":[""CARDINAL""]},{""start"":424,""end"":440,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":442,""end"":447,""text"":""Marsh"",""labels"":[""PER""]},{""start"":477,""end"":480,""text"":""IPL"",""labels"":[""EVENT""]},{""start"":492,""end"":512,""text"":""Lucknow Super Giants"",""labels"":[""GPE""]},{""start"":526,""end"":529,""text"":""LSG"",""labels"":[""GPE""]},{""start"":554,""end"":557,""text"":""3.4"",""labels"":[""CARDINAL""]},{""start"":576,""end"":588,""text"":""mega auction"",""labels"":[""EVENT""]},{""start"":590,""end"":604,""text"":""Mitchell Marsh"",""labels"":[""PER""]},{""start"":640,""end"":665,""text"":""ICC Mens Champions Trophy"",""labels"":[""EVENT""]},{""start"":787,""end"":790,""text"":""NSP"",""labels"":[""ORG""]},{""start"":917,""end"":928,""text"":""February 12"",""labels"":[""DATE""]}]",100.961,"Mitchell Marsh has been ruled out of the upcoming ICC Mens Champions Trophy due to a persistent back injury. Marsh has had a tough season, losing his Test spot to Beau Webster for the SCG match against India after scoring just 73 runs in seven innings and playing a limited bowling role in the Border-Gavaskar Trophy. He featured in a single BBL game on January 7 but skipped the final three matches to recover ahead of the Champions Trophy. Marshs injury could also leave his IPL stint with Lucknow Super Giants in jeopardy. LSG had acquired him for Rs 3.4 crore at the last mega auction. Mitchell Marsh has been ruled out of the upcoming ICC Mens Champions Trophy with ongoing lower back pain and dysfunction, the statement said. His lower back pain flared in recent weeks leading the NSP to make the longer term decision for Marsh to complete a more extended period of rehabilitation. The selectors have time till February 12 to name a replacement.","2025-02-23T12:20:49.335932Z"
21,"1","2025-02-23T12:22:38.811627Z",19,"[{""start"":0,""end"":14,""text"":""Mitchell Starc"",""labels"":[""PER""]},{""start"":47,""end"":63,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":68,""end"":90,""text"":""Cricket Australia (CA)"",""labels"":[""ORG""]},{""start"":124,""end"":139,""text"":"" ICC tournament"",""labels"":[""EVENT""]},{""start"":143,""end"":152,""text"":""Wednesday"",""labels"":[""DATE""]},{""start"":187,""end"":192,""text"":""Starc"",""labels"":[""PER""]},{""start"":194,""end"":205,""text"":""Pat Cummins"",""labels"":[""PER""]},{""start"":211,""end"":225,""text"":""Josh Hazlewood"",""labels"":[""PER""]},{""start"":179,""end"":183,""text"":""trio"",""labels"":[""CARDINAL""]},{""start"":288,""end"":299,""text"":""February 19"",""labels"":[""DATE""]},{""start"":303,""end"":311,""text"":""Pakistan"",""labels"":[""LOC""]},{""start"":313,""end"":318,""text"":""Starc"",""labels"":[""PER""]},{""start"":460,""end"":464,""text"":""four"",""labels"":[""CARDINAL""]},{""start"":478,""end"":488,""text"":""Sri Lankas"",""labels"":[""GPE""]},{""start"":518,""end"":528,""text"":""final Test"",""labels"":[""EVENT""]},{""start"":532,""end"":537,""text"":""Galle"",""labels"":[""LOC""]},{""start"":541,""end"":543,""text"":""CA"",""labels"":[""ORG""]},{""start"":584,""end"":589,""text"":""Mitch"",""labels"":[""PER""]},{""start"":614,""end"":616,""text"":""CA"",""labels"":[""ORG""]},{""start"":643,""end"":656,""text"":""George Bailey"",""labels"":[""PER""]},{""start"":752,""end"":767,""text"":""Spencer Johnson"",""labels"":[""PER""]},{""start"":769,""end"":781,""text"":""Nathan Ellis"",""labels"":[""PER""]},{""start"":783,""end"":794,""text"":""Sean Abbott"",""labels"":[""PER""]},{""start"":799,""end"":812,""text"":""Ben Dwarshuis"",""labels"":[""PER""]},{""start"":874,""end"":890,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":892,""end"":901,""text"":""Australia"",""labels"":[""GPE""]},{""start"":923,""end"":939,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":952,""end"":956,""text"":""2009"",""labels"":[""DATE""]},{""start"":943,""end"":947,""text"":""2006"",""labels"":[""DATE""]}]",107.795,"Mitchell Starc has withdrawn from the upcoming Champions Trophy, as Cricket Australia (CA) announced its final squad for the ICC tournament on Wednesday. This means that the pace trio of Starc, Pat Cummins, and Josh Hazlewood will be absent from the competition, which is set to begin on February 19 in Pakistan. Starc, who will not be commenting about his decision and has asked for privacy, looked to be in discomfort with a left ankle issue in bowling just four overs during Sri Lankas second innings of last weeks final Test at Galle, a CA release said. We understand and respect Mitchs decision, chair of the CAs national selection panel George Bailey said. The absence of the high-profile pace trio has opened the door for next-generation quicks Spencer Johnson, Nathan Ellis, Sean Abbott and Ben Dwarshuis who have been named in Australias final 15-man squad for the Champions Trophy. Australia has twice lifted the Champions Trophy in 2006 and 2009.","2025-02-23T12:22:38.811648Z"
22,"1","2025-02-23T12:25:06.851023Z",20,"[{""start"":4,""end"":39,""text"":""International Cricket Council (ICC)"",""labels"":[""ORG""]},{""start"":53,""end"":64,""text"":""December 19"",""labels"":[""DATE""]},{""start"":74,""end"":78,""text"":""2025"",""labels"":[""DATE""]},{""start"":79,""end"":95,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":182,""end"":190,""text"":""Pakistan"",""labels"":[""LOC""]},{""start"":224,""end"":235,""text"":""February 19"",""labels"":[""DATE""]},{""start"":262,""end"":267,""text"":""India"",""labels"":[""GPE""]},{""start"":320,""end"":323,""text"":""ICC"",""labels"":[""ORG""]},{""start"":350,""end"":355,""text"":""India"",""labels"":[""GPE""]},{""start"":360,""end"":368,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":405,""end"":415,""text"":""ICC Events"",""labels"":[""EVENT""]},{""start"":427,""end"":436,""text"":""2024-2027"",""labels"":[""DATE""]},{""start"":595,""end"":599,""text"":""2008"",""labels"":[""DATE""]},{""start"":606,""end"":611,""text"":""India"",""labels"":[""GPE""]},{""start"":626,""end"":634,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":635,""end"":647,""text"":""16 years ago"",""labels"":[""DATE""]},{""start"":658,""end"":666,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":681,""end"":686,""text"":""India"",""labels"":[""GPE""]},{""start"":695,""end"":726,""text"":""2023 ICC Mens Cricket World Cup"",""labels"":[""EVENT""]},{""start"":728,""end"":756,""text"":""Pakistan Cricket Board (PCB)"",""labels"":[""ORG""]},{""start"":766,""end"":778,""text"":""Mohsin Naqvi"",""labels"":[""PER""]},{""start"":935,""end"":946,""text"":""Afghanistan"",""labels"":[""GPE""]},{""start"":948,""end"":957,""text"":""Australia"",""labels"":[""GPE""]},{""start"":959,""end"":969,""text"":""Bangladesh"",""labels"":[""GPE""]},{""start"":971,""end"":978,""text"":""England"",""labels"":[""GPE""]},{""start"":980,""end"":985,""text"":""India"",""labels"":[""GPE""]},{""start"":987,""end"":998,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":1004,""end"":1016,""text"":""South Africa"",""labels"":[""GPE""]},{""start"":1034,""end"":1042,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":905,""end"":921,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":894,""end"":899,""text"":""eight"",""labels"":[""CARDINAL""]}]",143.536,"The International Cricket Council (ICC) confirmed on December 19 that the 2025 Champions Trophy will be staged using a hybrid model or at a neutral venue. Scheduled to take place in Pakistan, the tournament, set to begin on February 19, faced uncertainty due to Indias refusal to travel to the host nation. However, the ICC in a release has now said India and Pakistan matches hosted by either country at ICC Events during the 2024-2027 rights cycle will be played at a neutral venue. Political tensions between the two countries have prevented bilateral cricket outside major tournaments since 2008, with India last visiting Pakistan 16 years ago. However, Pakistan did travel to India for the 2023 ICC Mens Cricket World Cup. Pakistan Cricket Board (PCB) chairman Mohsin Naqvi had previously opposed the hybrid hosting model, which would see Indias matches played in a different country. The eight-team Champions Trophy will feature Afghanistan, Australia, Bangladesh, England, India, New Zealand, and South Africa, alongside hosts Pakistan.","2025-02-23T12:25:06.851042Z"
